x0,y0,x1,y1,x2,y2,x3,y3,x4,y4
0,0,0,33000,0,33000,0,33009,0,32989
10,20,10,32972,10,32975,10,32990,10,32963
20,70,20,32926,20,32930,20,32942,20,32914
30,148,30,32851,30,32857,30,32866,30,32838
40,245,40,32757,40,32763,40,32770,40,32742
50,359,50,32647,50,32653,50,32658,50,32631
60,487,60,32524,60,32530,60,32533,60,32508
70,623,70,32392,70,32397,70,32399,70,32375
80,769,80,32251,80,32256,80,32258,80,32234
90,920,90,32104,90,32109,90,32110,90,32087
100,1077,100,31953,100,31957,100,31958,100,31936
110,1238,110,31796,110,31799,110,31800,110,31779
120,1400,120,31637,120,31640,120,31640,120,31620
130,1566,130,31475,130,31478,130,31477,130,31458
140,1733,140,31312,140,31314,140,31313,140,31294
150,1902,150,31146,150,31149,150,31147,150,31128
160,2072,160,30979,160,30982,160,30979,160,30960
170,2244,170,30811,170,30813,170,30810,170,30791
180,2416,180,30643,180,30645,180,30642,180,30623
190,2588,190,30473,190,30475,190,30472,190,30453
200,2759,200,30302,200,30304,200,30301,200,30283
210,2932,210,30131,210,30133,210,30130,210,30111
220,3104,220,29960,220,29962,220,29958,220,29939
230,3277,230,29787,230,29790,230,29785,230,29766
240,3450,240,29616,240,29617,240,29613,240,29595
250,3624,250,29444,250,29445,250,29441,250,29422
260,3797,260,29271,260,29273,260,29268,260,29249
270,3970,270,29098,270,29100,270,29095,270,29076
280,4143,280,28925,280,28926,280,28921,280,28902
290,4316,290,28751,290,28752,290,28746,290,28726
300,4490,300,28577,300,28578,300,28572,300,28551
310,4663,310,28403,310,28405,310,28398,310,28377
320,4837,320,28230,320,28232,320,28224,320,28203
330,5012,330,28057,330,28060,330,28051,330,28029
340,5186,340,27885,340,27887,340,27878,340,27856
350,5361,350,27711,350,27714,350,27705,350,27682
360,5535,360,27539,360,27541,360,27533,360,27508
370,5709,370,27366,370,27369,370,27360,370,27335
380,5882,380,27194,380,27196,380,27187,380,27161
390,6057,390,27022,390,27025,390,27015,390,26988
400,6231,400,26849,400,26853,400,26842,400,26815
410,6407,410,26677,410,26680,410,26669,410,26642
420,6582,420,26505,420,26509,420,26497,420,26470
430,6755,430,26333,430,26337,430,26325,430,26297
440,6928,440,26160,440,26164,440,26153,440,26124
450,7102,450,25987,450,25991,450,25980,450,25951
460,7276,460,25814,460,25818,460,25808,460,25777
470,7450,470,25641,470,25645,470,25635,470,25604
480,7623,480,25468,480,25473,480,25462,480,25431
490,7797,490,25295,490,25301,490,25289,490,25257
500,7971,500,25122,500,25127,500,25115,500,25082
510,8145,510,24948,510,24953,510,24941,510,24908
520,8318,520,24775,520,24780,520,24768,520,24734
530,8491,530,24601,530,24606,530,24594,530,24560
540,8665,540,24428,540,24433,540,24420,540,24386
550,8839,550,24256,550,24260,550,24247,550,24214
560,9013,560,24083,560,24088,560,24073,560,24041
570,9187,570,23910,570,23915,570,23901,570,23868
580,9361,580,23738,580,23742,580,23728,580,23694
590,9535,590,23565,590,23569,590,23555,590,23521
600,9709,600,23392,600,23396,600,23382,600,23348
610,9883,610,23220,610,23224,610,23209,610,23176
620,10057,620,23048,620,23053,620,23037,620,23005
630,10232,630,22876,630,22881,630,22865,630,22833
640,10406,640,22704,640,22709,640,22693,640,22660
650,10580,650,22531,650,22536,650,22520,650,22488
660,10754,660,22359,660,22363,660,22348,660,22315
670,10928,670,22186,670,22191,670,22175,670,22142
680,11101,680,22014,680,22018,680,22003,680,21969
690,11275,690,21841,690,21845,690,21830,690,21797
700,11449,700,21669,700,21673,700,21658,700,21624
710,11623,710,21496,710,21500,710,21485,710,21451
720,11797,720,21322,720,21327,720,21311,720,21278
730,11971,730,21149,730,21154,730,21137,730,21104
740,12144,740,20976,740,20981,740,20964,740,20931
750,12317,750,20802,750,20806,750,20789,750,20756
760,12487,760,20628,760,20633,760,20615,760,20582
770,12652,770,20455,770,20459,770,20441,770,20408
780,12814,780,20281,780,20286,780,20267,780,20234
790,12976,790,20108,790,20113,790,20093,790,20060
800,13131,800,19934,800,19939,800,19919,800,19887
810,13281,810,19760,810,19765,810,19745,810,19713
820,13425,820,19586,820,19592,820,19571,820,19539
830,13564,830,19413,830,19418,830,19397,830,19365
840,13697,840,19241,840,19245,840,19224,840,19192
850,13826,850,19074,850,19073,850,19052,850,19019
860,13948,860,18914,860,18901,860,18879,860,18847
870,14065,870,18755,870,18728,870,18706,870,18674
880,14176,880,18606,880,18555,880,18533,880,18501
890,14284,890,18467,890,18384,890,18360,890,18328
900,14385,900,18337,900,18221,900,18186,900,18155
910,14483,910,18216,910,18064,910,18015,910,17982
920,14575,920,18105,920,17916,920,17852,920,17810
930,14663,930,18003,930,17780,930,17697,930,17643
940,14748,940,17912,940,17659,940,17552,940,17489
950,14828,950,17829,950,17549,950,17421,950,17345
960,14904,960,17755,960,17454,960,17310,960,17220
970,14978,970,17690,970,17374,970,17215,970,17117
980,15048,980,17632,980,17306,980,17137,980,17030
990,15114,990,17581,990,17248,990,17071,990,16959
1000,15177,1000,17536,1000,17197,1000,17014,1000,16909
1010,15238,1010,17496,1010,17153,1010,16965,1010,16889
1020,15296,1020,17459,1020,17114,1020,16933,1020,16888
1030,15351,1030,17424,1030,17077,1030,16924,1030,16894
1040,15403,1040,17393,1040,17042,1040,16930,1040,16904
1050,15451,1050,17362,1050,17009,1050,16941,1050,16918
1060,15499,1060,17332,1060,16978,1060,16953,1060,16937
1070,15544,1070,17301,1070,16960,1070,16969,1070,16957
1080,15587,1080,17272,1080,16960,1080,16987,1080,16978
1090,15627,1090,17245,1090,16967,1090,17006,1090,17000
1100,15666,1100,17219,1100,16979,1100,17013,1100,17014
1110,15703,1110,17193,1110,16993,1110,17010,1110,17016
1120,15737,1120,17168,1120,17010,1120,17003,1120,17014
1130,15772,1130,17144,1130,17014,1130,16994,1130,17008
1140,15804,1140,17118,1140,17011,1140,16993,1140,16997
1150,15834,1150,17092,1150,17003,1150,16998,1150,16994
1160,15864,1160,17066,1160,16993,1160,17006,1160,16999
1170,15894,1170,17040,1170,16991,1170,17005,1170,17003
1180,15924,1180,17014,1180,16996,1180,16999,1180,17001
1190,15952,1190,16989,1190,17003,1190,17004,1190,16988
1200,15979,1200,16978,1200,17002,1200,17006,1200,16989
1210,16005,1210,16977,1210,16995,1210,16996,1210,16999
1220,16032,1220,16984,1220,16999,1220,16997,1220,17005
1230,16059,1230,16993,1230,17015,1230,17011,1230,17003
1240,16085,1240,17008,1240,17013,1240,17008,1240,16991
1250,16112,1250,17012,1250,17005,1250,17000,1250,16991
1260,16138,1260,17007,1260,16998,1260,16993,1260,17001
1270,16166,1270,17001,1270,16999,1270,16995,1270,16994
1280,16192,1280,16992,1280,17011,1280,17003,1280,16990
1290,16219,1290,16991,1290,17010,1290,17000,1290,17000
1300,16245,1300,16996,1300,17000,1300,16996,1300,17015
1310,16273,1310,17001,1310,17000,1310,17003,1310,17016
1320,16300,1320,17000,1320,17000,1320,17005,1320,17007
1330,16327,1330,16994,1330,17000,1330,16997,1330,17001
1340,16354,1340,16999,1340,17000,1340,17001,1340,16990
1350,16380,1350,17016,1350,17000,1350,17001,1350,16988
1360,16408,1360,17017,1360,17000,1360,16988,1360,16992
1370,16434,1370,17005,1370,17000,1370,16982,1370,16997
1380,16461,1380,16997,1380,17000,1380,16992,1380,17004
1390,16487,1390,16998,1390,17000,1390,17001,1390,17004
1400,16515,1400,17007,1400,17000,1400,17006,1400,16994
1410,16543,1410,17006,1410,17000,1410,17001,1410,16994
1420,16571,1420,16995,1420,17000,1420,16994,1420,17004
1430,16597,1430,16999,1430,17000,1430,16995,1430,17002
1440,16624,1440,17011,1440,17000,1440,17007,1440,16985
1450,16651,1450,17008,1450,17000,1450,17006,1450,16985
1460,16679,1460,17003,1460,17000,1460,16994,1460,16995
1470,16704,1470,16996,1470,17000,1470,16996,1470,17000
1480,16730,1480,16998,1480,17000,1480,17008,1480,17003
1490,16757,1490,17008,1490,17000,1490,17006,1490,16996
1500,16786,1500,17007,1500,17000,1500,16996,1500,16998
1510,16815,1510,16995,1510,17000,1510,16999,1510,17008
1520,16841,1520,17002,1520,17000,1520,17012,1520,17010
1530,16867,1530,17004,1530,17000,1530,17009,1530,16998
1540,16894,1540,16993,1540,17000,1540,17003,1540,16994
1550,16922,1550,16990,1550,17000,1550,16996,1550,17002
1560,16948,1560,17000,1560,17000,1560,16999,1560,17002
1570,16974,1570,17010,1570,17000,1570,17008,1570,16987
1580,17001,1580,17010,1580,17000,1580,17009,1580,16989
1590,17019,1590,17004,1590,17000,1590,16998,1590,16997
1600,17026,1600,16998,1600,17000,1600,17003,1600,17003
1610,17022,1610,17002,1610,17000,1610,17005,1610,16999
1620,17015,1620,17004,1620,17000,1620,16993,1620,16997
1630,17003,1630,16993,1630,17000,1630,16989,1630,17007
1640,16990,1640,16990,1640,17000,1640,16998,1640,17008
1650,16988,1650,16996,1650,17000,1650,17010,1650,16997
1660,16992,1660,17005,1660,17000,1660,17011,1660,16994
1670,16998,1670,17006,1670,17000,1670,17003,1670,17003
1680,17009,1680,16999,1680,17000,1680,16997,1680,16997
1690,17010,1690,17006,1690,17000,1690,16999,1690,16993
1700,17006,1700,17008,1700,17000,1700,17009,1700,17002
1710,17000,1710,16999,1710,17000,1710,17008,1710,17000
1720,16999,1720,17001,1720,17000,1720,16997,1720,16989
1730,17006,1730,17002,1730,17000,1730,17002,1730,16994
1740,17004,1740,16989,1740,17000,1740,17001,1740,17006
1750,16993,1750,16987,1750,17000,1750,16985,1750,17006
1760,16991,1760,16994,1760,17000,1760,16980,1760,16991
1770,17004,1770,16998,1770,17000,1770,16992,1770,16992
1780,17005,1780,17007,1780,17000,1780,16999,1780,17000
1790,16995,1790,17008,1790,17000,1790,17009,1790,16999
1800,16998,1800,17002,1800,17000,1800,17010,1800,17004
1810,17014,1810,16996,1810,17000,1810,17004,1810,17000
1820,17014,1820,16998,1820,17000,1820,16999,1820,16989
1830,17005,1830,17009,1830,17000,1830,17000,1830,16989
1840,16998,1840,17006,1840,17000,1840,17004,1840,17000
1850,17003,1850,16995,1850,17000,1850,16997,1850,17000
1860,17003,1860,16999,1860,17000,1860,16995,1860,16999
1870,16992,1870,17010,1870,17000,1870,17002,1870,17003
1880,16989,1880,17008,1880,17000,1880,16999,1880,17000
1890,16997,1890,17000,1890,17000,1890,17000,1890,16986
1900,17008,1900,16997,1900,17000,1900,17004,1900,16987
1910,17008,1910,17003,1910,17000,1910,17000,1910,16997
1920,17004,1920,17005,1920,17000,1920,16996,1920,17004
1930,16998,1930,16992,1930,17000,1930,17001,1930,17000
1940,17002,1940,16989,1940,17000,1940,17001,1940,16993
1950,17004,1950,16998,1950,17000,1950,16987,1950,16998
1960,16993,1960,17004,1960,17000,1960,16987,1960,17010
1970,16989,1970,17001,1970,17000,1970,16993,1970,17012
1980,16998,1980,16991,1980,17000,1980,16998,1980,17000
1990,17009,1990,16991,1990,17000,1990,17006,1990,16986
2000,17010,2000,17001,2000,17000,2000,17005,2000,16987
2010,17005,2010,16999,2010,17000,2010,16998,2010,16996
2020,17000,2020,16998,2020,17000,2020,17000,2020,17003
2030,16998,2030,17007,2030,17000,2030,17005,2030,16996
2040,17005,2040,17006,2040,17000,2040,16999,2040,16993
2050,17004,2050,16998,2050,17000,2050,16996,2050,17004
2060,16993,2060,17003,2060,17000,2060,17007,2060,17004
2070,16992,2070,17003,2070,17000,2070,17007,2070,16992
2080,17005,2080,16992,2080,17000,2080,16996,2080,16992
2090,17008,2090,16991,2090,17000,2090,16998,2090,17001
2100,16997,2100,17000,2100,17000,2100,17011,2100,16993
2110,17000,2110,17002,2110,17000,2110,17010,2110,16989
2120,17009,2120,16996,2120,17000,2120,17000,2120,17000
2130,17005,2130,16993,2130,17000,2130,16997,2130,17004
2140,16993,2140,17003,2140,17000,2140,17003,2140,16995
2150,16994,2150,17003,2150,17000,2150,17004,2150,16992
